                   n                    p                    t                    s
380 146.763580269623 146.76615295936 146.764437832869 
381 146.763584765337 146.766143967902 146.764437832858 
382 146.763589225789 146.766135046965 146.764437832848 
383 146.76359365135 146.766126195813 146.764437832838 
384 146.763598042381 146.766117413721 146.764437832828 
385 146.763602399241 146.766108699972 146.764437832818 
386 146.763606722283 146.766100053858 146.764437832808 
387 146.763611011856 146.766091474681 146.764437832798 
388 146.763615268306 146.766082961753 146.764437832789 
389 146.763619491973 146.766074514392 146.764437832779 
390 146.763623683191 146.766066131928 146.76443783277 
391 146.763627842293 146.766057813696 146.764437832761 
392 146.763631969606 146.766049559043 146.764437832752 
393 146.763636065452 146.766041367323 146.764437832743 
394 146.763640130152 146.766033237896 146.764437832734 
395 146.763644164021 146.766025170134 146.764437832725 
396 146.763648167368 146.766017163413 146.764437832716 
397 146.763652140501 146.766009217121 146.764437832708 
398 146.763656083724 146.766001330649 146.764437832699 
399 146.763659997336 146.7659935034 146.764437832691 
400 146.763663881633 146.765985734782 146.764437832683 
401 146.763667736907 146.76597802421 146.764437832675 
402 146.763671563446 146.765970371108 146.764437832667 
403 146.763675361535 146.765962774907 146.764437832659 
404 146.763679131455 146.765955235042 146.764437832651 
405 146.763682873485 146.76594775096 146.764437832643 
406 146.763686587899 146.76594032211 146.764437832636 
407 146.763690274967 146.765932947951 146.764437832628 
408 146.763693934958 146.765925627947 146.764437832621 
409 146.763697568136 146.765918361569 146.764437832613 
410 146.763701174762 146.765911148295 146.764437832606 
411 146.763704755094 146.765903987608 146.764437832599 
412 146.763708309388 146.765896878999 146.764437832592 
413 146.763711837895 146.765889821963 146.764437832585 
414 146.763715340865 146.765882816004 146.764437832578 
415 146.763718818542 146.765875860628 146.764437832571 
416 146.763722271171 146.765868955352 146.764437832564 
417 146.76372569899 146.765862099693 146.764437832558 
418 146.763729102237 146.76585529318 146.764437832551 
419 146.763732481146 146.765848535341 146.764437832544 
420 146.763735835949 146.765841825716 146.764437832538 
421 146.763739166875 146.765835163845 146.764437832532 
422 146.763742474149 146.765828549278 146.764437832526 
423 146.763745757996 146.765821981567 146.764437832519 
424 146.763749018635 146.76581546027 146.764437832513 
425 146.763752256284 146.765808984952 146.764437832507 
426 146.763755471161 146.765802555181 146.764437832501 
427 146.763758663477 146.765796170531 146.764437832495 
428 146.763761833443 146.765789830581 146.764437832489 
429 146.763764981268 146.765783534915 146.764437832484 
430 146.763768107157 146.76577728312 146.764437832478 
431 146.763771211313 146.765771074791 146.764437832472 
432 146.763774293937 146.765764909525 146.764437832466 
433 146.763777355229 146.765758786925 146.764437832461 
434 146.763780395384 146.765752706599 146.764437832455 
435 146.763783414597 146.765746668157 146.76443783245 
436 146.763786413059 146.765740671217 146.764437832445 
437 146.76378939096 146.765734715398 146.76443783244 
438 146.763792348488 146.765728800326 146.764437832434 
439 146.763795285829 146.76572292563 146.764437832429 
440 146.763798203165 146.765717090942 146.764437832424 
441 146.763801100678 146.765711295902 146.764437832419 
442 146.763803978546 146.76570554015 146.764437832414 
443 146.763806836948 146.765699823331 146.764437832409 
444 146.763809676058 146.765694145096 146.764437832404 
445 146.76381249605 146.765688505098 146.764437832399 
446 146.763815297094 146.765682902995 146.764437832395 
447 146.763818079361 146.765677338448 146.76443783239 
448 146.763820843017 146.765671811121 146.764437832385 
449 146.763823588229 146.765666320685 146.764437832381 
